Label, R, G, B, A
0, 0, 0, 0, 255
101, 255, 0, 0, 255
201, 255, 0, 0, 255
302, 0, 128, 255, 255
303, 0, 128, 255, 255
304, 0, 128, 255, 255
105, 255, 128, 0, 255
205, 255, 128, 0, 255
106, 128, 255, 255, 255
206, 128, 255, 255, 255
107, 128, 255, 128, 255
207, 128, 255, 128, 255
108, 255, 128, 255, 255
208, 255, 128, 255, 255
109, 0, 128, 0, 255
209, 0, 128, 0, 255
110, 128, 0, 255, 255
210, 128, 0, 255, 255
311, 255, 255, 128, 255
311, 255, 255, 128, 255
100, 0, 0, 0, 0
