Label, Name
1, Corticospinal Tract
2, Corpus Callosum (Body)
3, Corpus Callosum (Genu)
4, Corpus Callosum (Splenium)
5, Cingulum
6, Arcuate Fasciculus
7, Fornix
8, Uncinate Fasciculus
9, Inferior Fronto-Occipital Fasciculus
10, Inferior Longitudinal Fasciculus
11, Cerebellar Tracts
