Label, R, G, B, A
0, 0, 0, 0, 255
101, 0, 100, 255, 255
201, 0, 100, 255, 255
302, 255, 0, 0, 255
303, 255, 0, 0, 255
304, 255, 0, 0, 255
105, 255, 128, 0, 255
205, 255, 128, 0, 255
106, 128, 255, 0, 255
206, 128, 255, 0, 255
107, 255, 255, 0, 255
207, 255, 255, 0, 255
108, 255, 128, 255, 255
208, 255, 128, 255, 255
109, 0, 255, 128, 255
209, 0, 255, 128, 255
110, 0, 128, 0, 255
210, 0, 128, 0, 255
311, 128, 255, 255, 255
100, 0, 0, 0, 0
